"","ROI_Name","X_position","Y_position","type","SegmentType","Gene","Expression"
"93","Hipp. Hilus, 016, Neuropil",26931.96875,17934.740234375,"Hippocampal hilus - Neuropil","Neuropil","CNTNAP1",0.499201552793828
"94","Cx. V, 009, Neuropil",19978,31299,"Cortical layer V - Neuropil","Neuropil","CNTNAP1",0.727303219177872
"95","Cx. II/III, 008, Neuropil",17781,32538,"Cortical layer II/III - Neuropil","Neuropil","CNTNAP1",0.922763638250934
"96","Cx. V, 007, Neuropil",15150,24659,"Cortical layer V - Neuropil","Neuropil","CNTNAP1",0.328598147721345
"97","Cx. V, 033, Neuropil",14266,22500,"Cortical layer V - Neuropil","Neuropil","CNTNAP1",1.30533544355987
"98","Hipp. CA1, 017, Neuropil",17683,20128,"Hippocampus CA1 - Neuropil","Neuropil","CNTNAP1",0.29228737240819
"99","Hipp. CA1, 021, Neuropil",19727,22092,"Hippocampus CA1 - Neuropil","Neuropil","CNTNAP1",0.192047899109513
"100","Hipp. CA1, 019, Neuropil",16563,16483,"Hippocampus CA1 - Neuropil","Neuropil","CNTNAP1",0.660872444917032
"101","Cx. II/III, 032, Neuropil",12988,25768,"Cortical layer II/III - Neuropil","Neuropil","CNTNAP1",0.570511330941194
"102","Cx. II/III, 036, Neuropil",11922,23565,"Cortical layer II/III - Neuropil","Neuropil","CNTNAP1",0.962976441597792
"103","Cx. V, 009, GFAP+",19978,31299,"Cortical layer V - GFAP+","GFAP+","CNTNAP1",-3.34571960637483
"104","Cx. II/III, 036, GFAP+",11922,23565,"Cortical layer II/III - GFAP+","GFAP+","CNTNAP1",0.449554739331269
"105","Cx. II/III, 008, GFAP+",17781,32538,"Cortical layer II/III - GFAP+","GFAP+","CNTNAP1",-0.506587346668508
"106","Cx. II/III, 032, GFAP+",12988,25768,"Cortical layer II/III - GFAP+","GFAP+","CNTNAP1",-1.18498095282168
"107","Cx. V, 007, GFAP+",15150,24659,"Cortical layer V - GFAP+","GFAP+","CNTNAP1",0.0196156147316877
"108","Cx. V, 033, GFAP+",14266,22500,"Cortical layer V - GFAP+","GFAP+","CNTNAP1",-1.18498095282168
"109","Hipp. CA1, 019, Iba1+",16563,16483,"Hippocampus CA1 - Iba1+","Iba1+","CACNG2",-1.28840796279937
"110","Cx. V, 007, Iba1+",15150,24659,"Cortical layer V - Iba1+","Iba1+","CACNG2",-2.07177336153485
"111","Hipp. CA1, 017, Iba1+",17683,20128,"Hippocampus CA1 - Iba1+","Iba1+","CACNG2",-0.916489692017012
"112","Cx. V, 009, Iba1+",19978,31299,"Cortical layer V - Iba1+","Iba1+","CACNG2",-0.133124293281534
"113","Cx. II/III, 008, Iba1+",17781,32538,"Cortical layer II/III - Iba1+","Iba1+","CACNG2",0.238793977500824
"114","Cx. V, 033, Iba1+",14266,22500,"Cortical layer V - Iba1+","Iba1+","CACNG2",0.414400669074083
"115","Hipp. CA1, 021, Iba1+",19727,22092,"Hippocampus CA1 - Iba1+","Iba1+","CACNG2",-0.291979868770992
"116","Cx. II/III, 032, Iba1+",12988,25768,"Cortical layer II/III - Iba1+","Iba1+","CACNG2",-2.07177336153485
"117","Cx. II/III, 036, Iba1+",11922,23565,"Cortical layer II/III - Iba1+","Iba1+","CACNG2",-0.240692067653545
"118","Hipp. Hilus, 014, Neuropil",29808.294921875,17616.25390625,"Hippocampal hilus - Neuropil","Neuropil","CACNG2",0.709484635380021
"119","Hipp. Hilus, 015, Neuropil",24204.931640625,16611.033203125,"Hippocampal hilus - Neuropil","Neuropil","CACNG2",1.03671599296314
"120","Hipp. Hilus, 016, Neuropil",26931.96875,17934.740234375,"Hippocampal hilus - Neuropil","Neuropil","CACNG2",1.20660811518246
"121","Cx. V, 009, Neuropil",19978,31299,"Cortical layer V - Neuropil","Neuropil","CACNG2",1.39407764701866
"122","Cx. II/III, 008, Neuropil",17781,32538,"Cortical layer II/III - Neuropil","Neuropil","CACNG2",1.09019829343755
"123","Cx. V, 007, Neuropil",15150,24659,"Cortical layer V - Neuropil","Neuropil","CACNG2",1.0221593762363
"124","Cx. V, 033, Neuropil",14266,22500,"Cortical layer V - Neuropil","Neuropil","CACNG2",0.0162342649409832
"125","Hipp. CA1, 017, Neuropil",17683,20128,"Hippocampus CA1 - Neuropil","Neuropil","CACNG2",0.663628502896888
"126","Hipp. CA1, 021, Neuropil",19727,22092,"Hippocampus CA1 - Neuropil","Neuropil","CACNG2",0.0567891129233572
"127","Hipp. CA1, 019, Neuropil",16563,16483,"Hippocampus CA1 - Neuropil","Neuropil","CACNG2",0.238793977500823
"128","Cx. II/III, 032, Neuropil",12988,25768,"Cortical layer II/III - Neuropil","Neuropil","CACNG2",0.483141216267102
"129","Cx. II/III, 036, Neuropil",11922,23565,"Cortical layer II/III - Neuropil","Neuropil","CACNG2",0.368734195446508
