"","ROI_Name","X_position","Y_position","type","SegmentType","Gene","Expression"
"170","Cx. V, 009, IBA1+",19978,31299,"Cortical layer V - IBA1+","IBA1+","YWHAG",-0.370135472916371
"171","Cx. V, 033, IBA1+",14266,22500,"Cortical layer V - IBA1+","IBA1+","YWHAG",-0.105993247002187
"172","Cx. V, 009, Neuropil",19978,31299,"Cortical layer V - Neuropil","Neuropil","YWHAG",-0.378920794559549
"173","Hipp. CA1, 017, IBA1+",17683,20128,"Hippocampus CA1 - IBA1+","IBA1+","YWHAG",-0.779040288059723
"174","Hipp. CA1, 019, IBA1+",16563,16483,"Hippocampus CA1 - IBA1+","IBA1+","YWHAG",-0.596171608773139
"175","Cx. II/III, 036, IBA1+",11922,23565,"Cortical layer II/III - IBA1+","IBA1+","YWHAG",-1.02625975701032
"176","Cx. V, 007, IBA1+",15150,24659,"Cortical layer V - IBA1+","IBA1+","YWHAG",-0.335486379322468
"177","Hipp. Hilus, 014, Neuropil",29808.294921875,17616.25390625,"Hippocampal hilus - Neuropil","Neuropil","YWHAG",-0.753407279189163
"178","Cx. II/III, 008, Neuropil",17781,32538,"Cortical layer II/III - Neuropil","Neuropil","YWHAG",-0.433724682037952
"179","Cx. V, 033, Neuropil",14266,22500,"Cortical layer V - Neuropil","Neuropil","YWHAG",-0.591108156679443
"180","Cx. V, 007, Neuropil",15150,24659,"Cortical layer V - Neuropil","Neuropil","YWHAG",-0.576016814888639
"181","Hipp. CA1, 021, Neuropil",19727,22092,"Hippocampus CA1 - Neuropil","Neuropil","YWHAG",-0.59897237208063
"182","Cx. II/III, 036, Neuropil",11922,23565,"Cortical layer II/III - Neuropil","Neuropil","YWHAG",-0.496390714856642
"183","Cx. II/III, 032, Neuropil",12988,25768,"Cortical layer II/III - Neuropil","Neuropil","YWHAG",-0.239364507655581
"184","Cx. II/III, 032, IBA1+",12988,25768,"Cortical layer II/III - IBA1+","IBA1+","YWHAG",-0.897700343326601
"185","Hipp. CA1, 017, Neuropil",17683,20128,"Hippocampus CA1 - Neuropil","Neuropil","YWHAG",-0.492416950345629
"186","Hipp. CA1, 019, Neuropil",16563,16483,"Hippocampus CA1 - Neuropil","Neuropil","YWHAG",-0.434993147577866
"187","Cx. II/III, 008, IBA1+",17781,32538,"Cortical layer II/III - IBA1+","IBA1+","YWHAG",-0.225309535425088
"188","Hipp. CA1, 021, IBA1+",19727,22092,"Hippocampus CA1 - IBA1+","IBA1+","YWHAG",-0.319990572740049
"189","Hipp. Hilus, 015, Neuropil",24204.931640625,16611.033203125,"Hippocampal hilus - Neuropil","Neuropil","YWHAG",-1.01571134795169
"190","Hipp. Hilus, 016, Neuropil",26931.96875,17934.740234375,"Hippocampal hilus - Neuropil","Neuropil","YWHAG",-1.13406128110836
